Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Study_Physical_Interaction,Study_Extracurricular
15.0,69.0,High,Low,No,9.0,79.0,Low,Yes,1,Medium,,Private,Positive,2.0,No,High School,Moderate,Female,63.0,30.0,0.0
9.0,74.0,Medium,Low,No,6.0,69.0,Low,Yes,3,Low,Medium,Private,Positive,2.0,No,,Moderate,Female,61.0,18.0,0.0
23.0,85.0,High,Medium,Yes,8.0,51.0,Low,Yes,0,High,Low,Public,Negative,4.0,No,College,Near,Female,68.0,92.0,23.0
9.0,94.0,High,Low,No,6.0,66.0,Low,Yes,0,Low,High,Public,Positive,3.0,No,College,Near,Male,66.0,27.0,0.0
13.0,90.0,Medium,High,No,4.0,99.0,High,Yes,1,High,Medium,Public,Neutral,4.0,Yes,College,Moderate,Male,69.0,52.0,0.0
8.0,82.0,Medium,High,Yes,5.0,86.0,Medium,No,0,Low,Medium,Public,Negative,3.0,No,Postgraduate,Near,Female,64.0,24.0,8.0
19.0,74.0,Medium,Medium,No,7.0,86.0,High,Yes,1,High,Medium,Private,Positive,3.0,No,Postgraduate,Near,Male,68.0,57.0,0.0
19.0,75.0,Medium,High,No,10.0,88.0,Low,Yes,0,Low,High,Public,Positive,2.0,No,High School,Near,Female,66.0,38.0,0.0
18.0,95.0,Medium,Medium,No,6.0,81.0,Medium,Yes,0,Low,Medium,Public,Positive,3.0,Yes,High School,Near,Female,68.0,54.0,0.0
14.0,62.0,Medium,High,Yes,7.0,79.0,Low,Yes,2,Medium,Medium,Private,Positive,2.0,No,High School,Moderate,Female,62.0,28.0,14.0
13.0,100.0,Medium,Low,Yes,8.0,73.0,Low,Yes,1,Low,Medium,Public,Neutral,3.0,No,Postgraduate,Near,Male,68.0,39.0,13.0
23.0,87.0,Medium,High,No,6.0,72.0,Medium,Yes,1,Low,High,Private,Negative,3.0,No,College,Moderate,Male,69.0,69.0,0.0
17.0,87.0,High,High,Yes,6.0,94.0,Medium,Yes,2,Low,Medium,Private,Neutral,3.0,No,High School,Moderate,Male,70.0,51.0,17.0
22.0,62.0,High,Medium,Yes,7.0,70.0,Low,Yes,4,Low,Medium,Public,Negative,2.0,No,College,Near,Female,65.0,44.0,22.0
15.0,84.0,Low,Medium,Yes,6.0,92.0,Medium,Yes,3,Medium,Medium,Public,Positive,3.0,No,College,Near,Female,68.0,45.0,15.0
21.0,79.0,Medium,High,No,4.0,92.0,Low,Yes,0,Low,Medium,Public,Negative,2.0,No,Postgraduate,Near,Female,67.0,42.0,0.0
28.0,64.0,Low,Medium,Yes,6.0,89.0,Medium,Yes,0,Low,Low,Public,Neutral,4.0,No,College,Far,Male,64.0,112.0,28.0
24.0,71.0,Low,Medium,No,8.0,52.0,Medium,No,2,Medium,Medium,Public,Negative,3.0,No,College,,Female,63.0,72.0,0.0
18.0,96.0,Medium,Low,Yes,8.0,57.0,Medium,Yes,1,Medium,Medium,Public,Negative,2.0,No,High School,Near,Female,67.0,36.0,18.0
22.0,82.0,High,Low,No,9.0,66.0,Medium,Yes,1,Low,High,Private,Negative,3.0,No,High School,Moderate,Male,66.0,66.0,0.0
19.0,77.0,High,Low,Yes,9.0,92.0,Medium,Yes,2,Low,Medium,Public,Positive,4.0,No,High School,Near,Female,67.0,76.0,19.0
20.0,63.0,Medium,Medium,Yes,6.0,94.0,Medium,No,2,Medium,Medium,Public,Neutral,3.0,No,High School,Far,Female,63.0,60.0,20.0
18.0,89.0,Medium,Medium,Yes,6.0,52.0,Medium,Yes,3,High,High,Public,Positive,3.0,No,High School,Moderate,Female,69.0,54.0,18.0
19.0,88.0,High,High,No,6.0,66.0,Medium,Yes,3,Medium,Medium,Public,Positive,2.0,No,High School,Near,Female,70.0,38.0,0.0
21.0,85.0,High,Medium,Yes,7.0,93.0,Medium,Yes,0,High,Medium,Public,Neutral,4.0,No,High School,Moderate,Male,70.0,84.0,21.0
14.0,80.0,High,Medium,No,6.0,62.0,Medium,Yes,0,High,Medium,Private,Negative,2.0,No,Postgraduate,Near,Male,65.0,28.0,0.0
14.0,77.0,Low,Low,No,7.0,99.0,Low,Yes,2,Medium,Medium,Public,Positive,2.0,No,Postgraduate,Moderate,Female,64.0,28.0,0.0
12.0,84.0,Medium,High,Yes,6.0,74.0,High,Yes,1,Medium,High,Public,Negative,3.0,No,College,Moderate,Female,67.0,36.0,12.0
10.0,69.0,Low,Medium,No,8.0,97.0,Medium,Yes,1,Medium,Medium,Private,Negative,3.0,No,High School,Near,Female,61.0,30.0,0.0
13.0,98.0,Medium,High,Yes,6.0,71.0,Medium,Yes,1,Low,High,Private,Positive,1.0,No,College,Near,Female,70.0,13.0,13.0
21.0,84.0,High,Low,No,6.0,66.0,High,Yes,2,High,Medium,Private,Positive,4.0,Yes,College,Far,Male,68.0,84.0,0.0
15.0,72.0,Medium,Medium,Yes,8.0,68.0,High,Yes,0,Medium,Medium,Public,Positive,2.0,No,High School,Near,Female,64.0,30.0,15.0
23.0,78.0,High,Medium,No,8.0,94.0,Medium,Yes,1,High,Medium,Private,Neutral,2.0,Yes,High School,Moderate,Male,68.0,46.0,0.0
20.0,92.0,Medium,Low,No,7.0,67.0,Low,Yes,1,Medium,Medium,Public,Positive,5.0,No,High School,Near,Male,68.0,100.0,0.0
8.0,66.0,High,High,Yes,8.0,83.0,Medium,Yes,0,Low,Medium,Private,Positive,4.0,No,College,,Male,63.0,32.0,8.0
24.0,72.0,Low,Medium,Yes,8.0,73.0,Low,Yes,1,Low,Medium,Public,Positive,2.0,No,College,Moderate,Female,65.0,48.0,24.0
25.0,87.0,Low,Medium,Yes,10.0,97.0,Medium,Yes,4,Low,Low,Private,Neutral,3.0,Yes,High School,Near,Female,69.0,75.0,25.0
14.0,73.0,Medium,High,No,8.0,58.0,Medium,Yes,2,Low,High,Public,Negative,2.0,No,College,Moderate,Male,63.0,28.0,0.0
23.0,92.0,Low,Medium,Yes,10.0,71.0,Medium,Yes,1,Low,Medium,Public,Neutral,3.0,No,College,Near,Male,69.0,69.0,23.0
15.0,65.0,High,Low,Yes,7.0,56.0,Medium,No,3,High,Medium,Private,Positive,3.0,Yes,High School,Near,Female,61.0,45.0,15.0
21.0,91.0,Low,High,Yes,9.0,79.0,Medium,Yes,2,Low,Medium,Private,Neutral,3.0,No,College,Far,Female,69.0,63.0,21.0
12.0,63.0,High,Medium,No,9.0,70.0,Low,Yes,1,High,Low,Public,Positive,3.0,No,College,Near,Female,62.0,36.0,0.0
9.0,61.0,Low,High,Yes,7.0,53.0,Medium,Yes,0,Medium,Medium,Public,Positive,2.0,Yes,Postgraduate,Far,Male,58.0,18.0,9.0
18.0,96.0,Medium,High,Yes,6.0,92.0,Medium,Yes,2,Medium,Medium,Public,Positive,3.0,No,High School,Far,Male,71.0,54.0,18.0
19.0,83.0,High,Low,No,6.0,69.0,Medium,Yes,5,Medium,Medium,Private,Positive,2.0,No,Postgraduate,Far,Male,69.0,38.0,0.0
18.0,74.0,High,Medium,No,8.0,75.0,High,Yes,1,High,High,Public,Positive,3.0,No,Postgraduate,Moderate,Male,68.0,54.0,0.0
13.0,69.0,Medium,Low,No,5.0,70.0,Medium,Yes,0,Medium,High,Private,Negative,2.0,No,College,Near,Male,61.0,26.0,0.0
18.0,85.0,High,Medium,Yes,6.0,74.0,Medium,Yes,3,Low,Medium,Private,Negative,2.0,No,College,Far,Male,67.0,36.0,18.0
22.0,80.0,Medium,High,Yes,9.0,51.0,Medium,Yes,2,Medium,Medium,Public,Negative,3.0,No,Postgraduate,Near,Male,68.0,66.0,22.0
20.0,100.0,Medium,Medium,Yes,8.0,91.0,Medium,Yes,3,Low,Medium,Public,Positive,3.0,No,High School,Near,Male,72.0,60.0,20.0
21.0,99.0,High,Low,Yes,4.0,67.0,Medium,Yes,1,Medium,Medium,Private,Negative,4.0,No,College,Near,Female,71.0,84.0,21.0
16.0,85.0,Medium,Medium,Yes,5.0,86.0,Low,No,3,Medium,Medium,Public,Positive,2.0,No,High School,Near,Male,67.0,32.0,16.0
27.0,78.0,Medium,Medium,No,10.0,53.0,Medium,Yes,3,Medium,Medium,Private,Neutral,4.0,Yes,Postgraduate,Moderate,Male,68.0,108.0,0.0
13.0,80.0,Medium,Medium,No,9.0,76.0,Medium,Yes,0,High,Medium,Public,Neutral,2.0,No,High School,Near,Female,64.0,26.0,0.0
23.0,87.0,Medium,High,No,6.0,95.0,High,Yes,3,High,Medium,Private,Positive,0.0,No,High School,Near,Female,73.0,0.0,0.0
27.0,64.0,Low,Medium,Yes,5.0,70.0,Medium,Yes,0,Low,High,Public,Positive,4.0,No,High School,Near,Female,65.0,108.0,27.0
23.0,73.0,Low,High,No,5.0,60.0,High,Yes,1,Medium,Medium,Private,Positive,2.0,No,Postgraduate,Near,Female,67.0,46.0,0.0
19.0,63.0,High,Medium,Yes,8.0,55.0,Low,Yes,0,Medium,Medium,Private,Positive,4.0,No,College,Moderate,Female,63.0,76.0,19.0
17.0,63.0,Medium,Medium,Yes,10.0,93.0,Medium,Yes,0,Low,Medium,Public,Positive,2.0,Yes,Postgraduate,Near,Female,63.0,34.0,17.0
26.0,68.0,Medium,Medium,Yes,10.0,62.0,High,Yes,4,Medium,Medium,Public,Neutral,2.0,No,Postgraduate,Near,Female,69.0,52.0,26.0
11.0,79.0,High,High,Yes,5.0,99.0,Medium,Yes,1,High,Low,Public,Positive,3.0,No,High School,Near,Female,68.0,33.0,11.0
14.0,91.0,Medium,Medium,Yes,7.0,62.0,Medium,Yes,2,Low,High,Public,Neutral,2.0,No,College,Near,Male,68.0,28.0,14.0
18.0,79.0,High,High,Yes,6.0,74.0,Medium,Yes,3,Low,Medium,Public,Positive,4.0,No,High School,Near,Male,69.0,72.0,18.0
27.0,73.0,High,High,Yes,7.0,73.0,High,Yes,5,High,High,Public,Negative,3.0,No,High School,Near,Female,73.0,81.0,27.0
22.0,63.0,High,High,Yes,5.0,53.0,High,Yes,3,Low,High,Public,Negative,2.0,No,High School,Near,Male,66.0,44.0,22.0
14.0,82.0,Medium,Medium,Yes,6.0,77.0,Medium,Yes,3,Medium,Medium,Public,Positive,3.0,No,College,Near,Female,68.0,42.0,14.0
18.0,71.0,Medium,Medium,No,6.0,84.0,Medium,Yes,2,Medium,Low,Public,Neutral,2.0,No,Postgraduate,Near,Male,65.0,36.0,0.0
16.0,85.0,Medium,Medium,No,8.0,87.0,High,Yes,4,Low,Medium,Private,Negative,3.0,No,High School,Far,Male,67.0,48.0,0.0
16.0,99.0,Medium,Medium,No,6.0,76.0,Low,Yes,2,Medium,Medium,Private,Positive,4.0,No,College,Near,Female,70.0,64.0,0.0
26.0,64.0,Medium,High,No,6.0,91.0,Medium,Yes,1,Low,Medium,Private,Neutral,4.0,No,High School,Moderate,Male,66.0,104.0,0.0
12.0,68.0,Medium,High,No,8.0,88.0,High,Yes,3,Low,Medium,Public,Negative,3.0,No,Postgraduate,Moderate,Female,64.0,36.0,0.0
30.0,79.0,Medium,High,No,9.0,60.0,Medium,Yes,1,Low,Medium,Public,Neutral,3.0,No,High School,Near,Female,69.0,90.0,0.0
25.0,99.0,Low,Medium,No,10.0,70.0,Medium,Yes,1,Medium,Medium,Public,Positive,5.0,No,College,Far,Female,71.0,125.0,0.0
27.0,91.0,Medium,Low,No,8.0,57.0,Medium,Yes,0,Low,Low,Private,Neutral,4.0,No,Postgraduate,Moderate,Male,68.0,108.0,0.0
17.0,96.0,High,Medium,No,7.0,57.0,Low,Yes,2,Medium,Medium,Private,Negative,3.0,No,College,Moderate,Female,68.0,51.0,0.0
19.0,73.0,Low,Medium,Yes,9.0,86.0,High,Yes,0,Medium,High,Public,Positive,3.0,No,College,Near,Female,66.0,57.0,19.0
11.0,100.0,Low,High,No,9.0,77.0,Medium,Yes,2,Medium,High,Public,Positive,3.0,No,Postgraduate,Near,Female,70.0,33.0,0.0
17.0,64.0,Medium,High,No,8.0,80.0,Medium,Yes,0,High,High,Public,Positive,2.0,No,Postgraduate,Near,Female,65.0,34.0,0.0
23.0,62.0,Medium,Low,Yes,5.0,87.0,Medium,Yes,1,Medium,Medium,Public,Negative,4.0,No,High School,Near,Female,63.0,92.0,23.0
28.0,94.0,Low,Medium,Yes,9.0,64.0,Medium,Yes,0,Medium,Medium,Public,Neutral,3.0,No,High School,Moderate,Female,70.0,84.0,28.0
13.0,97.0,Low,Medium,Yes,8.0,70.0,Medium,Yes,0,High,Medium,Private,Neutral,2.0,No,Postgraduate,Moderate,Female,67.0,26.0,13.0
18.0,64.0,Medium,Medium,No,6.0,80.0,Medium,Yes,1,Medium,Medium,Public,Positive,5.0,Yes,High School,Near,Male,63.0,90.0,0.0
19.0,65.0,High,Medium,No,6.0,55.0,Medium,Yes,1,Low,High,Public,Positive,3.0,No,Postgraduate,Moderate,Male,64.0,57.0,0.0
12.0,61.0,Low,Medium,Yes,8.0,92.0,Medium,Yes,2,High,Medium,Public,Neutral,4.0,Yes,High School,Moderate,Male,60.0,48.0,12.0
24.0,64.0,Medium,Medium,Yes,4.0,67.0,Low,Yes,0,Low,Medium,Public,Neutral,1.0,No,High School,Near,Male,62.0,24.0,24.0
16.0,68.0,Medium,High,No,7.0,83.0,High,Yes,2,Low,High,Public,Positive,2.0,No,High School,Near,Female,65.0,32.0,0.0
19.0,99.0,Low,Low,No,6.0,100.0,Medium,Yes,0,High,Low,Private,Negative,3.0,No,Postgraduate,Near,Male,69.0,57.0,0.0
17.0,87.0,Medium,High,Yes,6.0,74.0,Low,Yes,1,Low,High,Private,Neutral,3.0,No,College,Moderate,Female,68.0,51.0,17.0
15.0,91.0,Medium,Medium,No,6.0,61.0,Medium,No,1,Medium,High,Public,Positive,2.0,No,High School,Moderate,Male,66.0,30.0,0.0
20.0,91.0,High,High,Yes,5.0,61.0,Low,Yes,4,Low,Medium,Public,Positive,2.0,No,Postgraduate,Near,Male,72.0,40.0,20.0
19.0,81.0,Medium,High,Yes,9.0,53.0,Medium,Yes,2,High,Medium,Public,Positive,3.0,No,High School,Near,Male,68.0,57.0,19.0
18.0,92.0,Medium,Medium,No,4.0,88.0,Medium,Yes,3,High,Medium,Public,Neutral,2.0,No,High School,Moderate,Male,69.0,36.0,0.0
16.0,84.0,Medium,Medium,No,7.0,65.0,Low,Yes,1,High,High,Public,Negative,3.0,No,High School,Moderate,Male,65.0,48.0,0.0
22.0,73.0,High,Medium,Yes,6.0,59.0,Low,Yes,0,Low,Medium,Public,Positive,1.0,No,High School,Near,Male,65.0,22.0,22.0
30.0,82.0,Low,Medium,Yes,10.0,86.0,Low,Yes,2,Low,High,Public,Neutral,4.0,No,High School,Near,Female,70.0,120.0,30.0
21.0,81.0,Medium,Low,Yes,7.0,65.0,High,Yes,1,Medium,Medium,Public,Positive,2.0,No,College,Moderate,Male,67.0,42.0,21.0
26.0,93.0,High,Medium,No,4.0,80.0,Medium,Yes,4,Low,Medium,Private,Positive,3.0,Yes,College,Near,Male,73.0,78.0,0.0
12.0,99.0,High,High,No,8.0,71.0,Medium,Yes,2,Medium,Low,Public,Neutral,2.0,No,College,Near,Female,70.0,24.0,0.0
21.0,76.0,Medium,Medium,Yes,5.0,67.0,Medium,Yes,1,High,Low,Private,Positive,3.0,No,High School,Moderate,Male,66.0,63.0,21.0
13.0,91.0,Medium,Medium,Yes,8.0,74.0,Medium,Yes,1,Low,Medium,Private,Positive,1.0,No,Postgraduate,Near,Male,68.0,13.0,13.0
11.0,64.0,Medium,Medium,Yes,8.0,66.0,Medium,Yes,2,Low,Medium,Public,Positive,2.0,No,College,Moderate,Male,61.0,22.0,11.0
16.0,91.0,Medium,High,No,9.0,94.0,Low,Yes,0,High,Medium,Public,Positive,3.0,No,Postgraduate,Near,Male,70.0,48.0,0.0
27.0,75.0,Medium,Low,Yes,7.0,54.0,Low,Yes,2,Medium,Medium,Public,Negative,3.0,No,Postgraduate,Near,Female,66.0,81.0,27.0
26.0,62.0,High,Medium,Yes,8.0,52.0,Medium,Yes,4,Low,Medium,Public,Neutral,5.0,No,College,Near,Male,67.0,130.0,26.0
21.0,75.0,High,High,No,7.0,70.0,High,Yes,1,Medium,High,Private,Neutral,3.0,No,Postgraduate,Near,Female,69.0,63.0,0.0
11.0,84.0,Medium,Low,Yes,6.0,59.0,Low,Yes,2,Medium,Medium,Public,Positive,3.0,No,High School,Near,Female,64.0,33.0,11.0
19.0,65.0,High,Medium,Yes,9.0,87.0,Low,Yes,0,High,High,Public,Positive,2.0,No,College,Moderate,Male,65.0,38.0,19.0
22.0,97.0,High,Medium,Yes,5.0,68.0,Low,Yes,7,Medium,High,Private,Negative,5.0,No,College,Near,Female,75.0,110.0,22.0
21.0,63.0,High,Medium,No,7.0,63.0,Medium,Yes,2,Medium,Medium,Public,Neutral,2.0,No,High School,Far,Male,63.0,42.0,0.0
9.0,97.0,High,Medium,No,6.0,68.0,Low,Yes,5,Medium,Medium,Private,Neutral,3.0,No,College,Near,Male,69.0,27.0,0.0
15.0,88.0,Medium,High,Yes,8.0,61.0,Low,Yes,2,Medium,High,Public,Positive,4.0,Yes,High School,Near,Male,68.0,60.0,15.0
20.0,73.0,Medium,Low,Yes,6.0,65.0,Medium,Yes,2,High,High,Private,Positive,2.0,No,College,Near,Male,66.0,40.0,20.0
23.0,76.0,Low,Medium,Yes,6.0,78.0,Low,Yes,2,High,Medium,Public,Positive,2.0,No,High School,Moderate,Female,66.0,46.0,23.0
7.0,90.0,Low,Medium,Yes,7.0,93.0,Low,Yes,4,Medium,Medium,Public,Neutral,3.0,No,College,Near,Male,66.0,21.0,7.0
19.0,84.0,Medium,Medium,Yes,9.0,69.0,Medium,Yes,2,Medium,Low,Public,Neutral,4.0,No,College,Near,Female,68.0,76.0,19.0
21.0,87.0,Low,Medium,Yes,6.0,66.0,Medium,Yes,1,Low,Low,Public,Negative,2.0,No,High School,Moderate,Female,65.0,42.0,21.0
25.0,76.0,Medium,High,No,6.0,89.0,High,Yes,3,Low,Medium,Public,Neutral,3.0,No,College,Near,Male,70.0,75.0,0.0
24.0,80.0,Medium,High,No,5.0,51.0,Medium,Yes,3,High,Low,Public,Positive,2.0,No,High School,Near,Female,68.0,48.0,0.0
23.0,100.0,Medium,Medium,No,6.0,65.0,Low,Yes,1,Medium,High,Public,Neutral,2.0,Yes,High School,Near,Female,70.0,46.0,0.0
15.0,69.0,Low,Medium,No,8.0,73.0,Medium,Yes,2,Medium,Medium,Public,Neutral,2.0,No,High School,Moderate,Male,61.0,30.0,0.0
9.0,77.0,Low,Low,No,7.0,80.0,Medium,Yes,3,Medium,Medium,Public,Positive,3.0,Yes,High School,Near,Male,61.0,27.0,0.0
18.0,72.0,Low,High,No,7.0,58.0,Low,Yes,6,Low,Medium,Public,Positive,0.0,No,High School,Moderate,Male,64.0,0.0,0.0
26.0,91.0,Low,Medium,No,10.0,72.0,Low,Yes,4,High,Medium,Public,Neutral,3.0,No,College,Moderate,Male,71.0,78.0,0.0
28.0,91.0,High,Medium,Yes,4.0,78.0,Low,Yes,1,Medium,Low,Public,Positive,3.0,No,High School,Moderate,Male,72.0,84.0,28.0
24.0,72.0,Medium,High,Yes,10.0,76.0,High,No,1,Low,Medium,Public,Negative,3.0,No,High School,Near,Male,66.0,72.0,24.0
23.0,63.0,Medium,Medium,Yes,9.0,79.0,High,Yes,0,Low,Medium,Private,Negative,4.0,No,High School,Far,Female,63.0,92.0,23.0
22.0,60.0,Low,Low,No,7.0,83.0,Medium,No,3,Medium,Medium,Public,Positive,1.0,No,College,Near,Female,62.0,22.0,0.0
17.0,77.0,Medium,Medium,Yes,8.0,69.0,Low,Yes,3,High,Medium,Public,Neutral,3.0,Yes,,Near,Male,65.0,51.0,17.0
19.0,76.0,Medium,Medium,Yes,6.0,53.0,Medium,Yes,2,Medium,Medium,Public,Positive,5.0,No,High School,Near,Male,66.0,95.0,19.0
30.0,100.0,Low,High,No,7.0,53.0,Medium,Yes,2,Low,High,Private,Neutral,3.0,No,High School,Moderate,Male,72.0,90.0,0.0
14.0,79.0,High,Medium,Yes,10.0,93.0,Medium,Yes,2,Medium,Medium,Public,Neutral,3.0,No,College,Near,Male,68.0,42.0,14.0
30.0,70.0,High,Low,No,6.0,84.0,High,Yes,2,Medium,Medium,Public,Positive,3.0,No,Postgraduate,Near,Male,70.0,90.0,0.0
18.0,96.0,Medium,Medium,Yes,7.0,88.0,Medium,Yes,1,Medium,High,Private,Negative,3.0,No,High School,Moderate,Female,70.0,54.0,18.0
28.0,80.0,Medium,High,No,6.0,96.0,High,Yes,2,Low,Medium,Public,Positive,6.0,No,High School,Near,Male,73.0,168.0,0.0
12.0,84.0,Medium,High,No,6.0,88.0,High,No,2,High,High,Public,Positive,2.0,No,High School,Near,Male,67.0,24.0,0.0
24.0,64.0,Medium,Low,No,6.0,85.0,Medium,Yes,3,Medium,Medium,Public,Positive,2.0,No,Postgraduate,Moderate,Male,65.0,48.0,0.0
16.0,75.0,High,Low,Yes,5.0,83.0,Medium,Yes,1,Medium,High,Private,Negative,3.0,No,College,Moderate,Female,65.0,48.0,16.0
12.0,98.0,Low,Medium,No,7.0,63.0,Medium,Yes,0,High,Medium,Private,Neutral,3.0,Yes,High School,Near,Female,65.0,36.0,0.0
21.0,84.0,Medium,Medium,Yes,7.0,98.0,Medium,Yes,0,Medium,Medium,Public,Neutral,4.0,No,College,Near,Male,70.0,84.0,21.0
26.0,74.0,Medium,Low,Yes,6.0,77.0,Medium,Yes,3,Medium,Medium,Private,Negative,2.0,No,High School,Far,Male,66.0,52.0,26.0
15.0,85.0,Medium,Medium,Yes,4.0,61.0,Medium,Yes,0,Medium,Low,Public,Neutral,1.0,No,College,Near,Male,65.0,15.0,15.0
11.0,96.0,High,High,No,7.0,60.0,Medium,Yes,2,Low,Medium,Public,Neutral,1.0,No,High School,Near,Male,68.0,11.0,0.0
19.0,71.0,Medium,Medium,Yes,7.0,91.0,Medium,Yes,3,High,Medium,Public,Negative,1.0,No,High School,Moderate,Female,66.0,19.0,19.0
19.0,80.0,Low,Medium,Yes,10.0,63.0,High,No,1,Medium,Medium,Public,Neutral,2.0,No,College,Near,Female,65.0,38.0,19.0
23.0,98.0,Medium,High,Yes,7.0,52.0,Low,Yes,2,Low,High,Private,Positive,4.0,Yes,High School,Near,Female,71.0,92.0,23.0
26.0,67.0,Low,Medium,Yes,8.0,71.0,Medium,Yes,2,High,Medium,Private,Negative,3.0,No,High School,Near,Male,65.0,78.0,26.0
20.0,89.0,Low,Medium,Yes,6.0,91.0,High,Yes,0,Medium,Medium,Private,Positive,4.0,No,College,Near,Male,70.0,80.0,20.0
31.0,85.0,Medium,Medium,Yes,9.0,71.0,Low,Yes,0,Medium,High,Public,Negative,2.0,Yes,College,Moderate,Female,69.0,62.0,31.0
21.0,87.0,Medium,Medium,No,6.0,90.0,High,Yes,3,High,Medium,Public,Negative,4.0,No,High School,Near,Male,71.0,84.0,0.0
18.0,74.0,Medium,High,Yes,8.0,91.0,Medium,Yes,0,Medium,High,Private,Positive,2.0,No,High School,Near,Female,67.0,36.0,18.0
10.0,73.0,Medium,Medium,Yes,8.0,93.0,High,Yes,3,Low,Medium,Public,Positive,2.0,Yes,,Moderate,Male,64.0,20.0,10.0
18.0,87.0,Low,Low,No,8.0,79.0,High,Yes,1,Low,High,Public,Negative,4.0,No,College,Near,Male,82.0,72.0,0.0
18.0,69.0,Medium,High,Yes,10.0,85.0,Medium,Yes,2,High,Medium,Private,Positive,0.0,No,College,Moderate,Female,66.0,0.0,18.0
26.0,77.0,Low,Medium,Yes,6.0,63.0,Low,Yes,1,Low,High,Public,Negative,4.0,No,High School,Near,Male,66.0,104.0,26.0
23.0,68.0,High,Medium,Yes,9.0,55.0,Medium,Yes,1,Medium,Medium,Public,Positive,3.0,No,High School,Moderate,Male,65.0,69.0,23.0
13.0,60.0,Medium,Medium,No,9.0,77.0,Low,Yes,2,Medium,High,Private,Positive,5.0,Yes,High School,Near,Male,61.0,65.0,0.0
21.0,99.0,Medium,High,No,7.0,51.0,High,Yes,2,Medium,Low,Private,Neutral,2.0,No,Postgraduate,Near,Female,72.0,42.0,0.0
24.0,77.0,High,Medium,Yes,10.0,73.0,Medium,Yes,3,Medium,Medium,Public,Positive,3.0,No,High School,Near,Male,70.0,72.0,24.0
29.0,99.0,Medium,Medium,Yes,7.0,55.0,Low,Yes,0,Medium,Medium,Private,Positive,3.0,No,High School,Moderate,Male,71.0,87.0,29.0
25.0,66.0,High,Medium,Yes,7.0,55.0,Medium,Yes,4,Medium,Medium,Public,Neutral,2.0,Yes,High School,Moderate,Female,84.0,50.0,25.0
25.0,83.0,High,High,Yes,7.0,94.0,Low,Yes,2,Low,High,Public,Positive,3.0,Yes,College,Moderate,Male,72.0,75.0,25.0
20.0,68.0,Medium,High,Yes,5.0,82.0,Medium,No,1,Low,High,Public,Positive,3.0,No,Postgraduate,Near,Female,67.0,60.0,20.0
22.0,92.0,High,Low,No,8.0,82.0,Medium,Yes,2,Medium,Medium,Private,Neutral,5.0,No,Postgraduate,Near,Male,72.0,110.0,0.0
27.0,91.0,Low,High,Yes,8.0,70.0,Low,Yes,1,Medium,Low,Public,Neutral,6.0,No,High School,Moderate,Female,70.0,162.0,27.0
12.0,65.0,Medium,High,No,7.0,71.0,Medium,Yes,1,Low,High,Public,Neutral,4.0,No,High School,Moderate,Male,62.0,48.0,0.0
18.0,96.0,High,Medium,Yes,10.0,65.0,Low,Yes,3,Medium,Medium,Public,Positive,2.0,No,College,Moderate,Female,71.0,36.0,18.0
15.0,68.0,Low,Medium,No,6.0,72.0,Low,Yes,3,High,Low,Public,Neutral,3.0,No,High School,Near,Female,62.0,45.0,0.0
22.0,85.0,Medium,Medium,Yes,4.0,79.0,Low,Yes,1,Low,Low,Public,Positive,3.0,No,High School,Near,Female,68.0,66.0,22.0
27.0,99.0,High,Medium,No,10.0,59.0,High,Yes,2,Low,Medium,Public,Positive,3.0,No,High School,Near,Male,74.0,81.0,0.0
16.0,95.0,High,High,No,9.0,63.0,Medium,No,0,Medium,Low,Private,Positive,3.0,No,High School,Near,Male,68.0,48.0,0.0
6.0,98.0,Medium,Low,No,8.0,75.0,Medium,Yes,1,High,Medium,Public,Neutral,3.0,Yes,Postgraduate,Far,Female,64.0,18.0,0.0
18.0,74.0,High,Medium,Yes,6.0,69.0,Medium,Yes,0,Low,Medium,Public,Positive,4.0,No,High School,Moderate,Male,65.0,72.0,18.0
25.0,64.0,Medium,Low,Yes,8.0,91.0,Medium,Yes,1,Low,Low,Public,Positive,5.0,No,College,Near,Male,66.0,125.0,25.0
23.0,68.0,Medium,High,No,5.0,91.0,Low,Yes,5,Low,Medium,Public,Neutral,1.0,No,College,Near,Female,68.0,23.0,0.0
23.0,80.0,Medium,Medium,No,7.0,67.0,Low,Yes,2,Low,High,Public,Neutral,4.0,No,High School,Near,Male,67.0,92.0,0.0
18.0,92.0,Medium,Medium,Yes,6.0,73.0,Low,Yes,1,Medium,High,Public,Neutral,5.0,Yes,High School,Moderate,Female,67.0,90.0,18.0
12.0,66.0,Medium,High,Yes,7.0,99.0,Low,Yes,2,Medium,Low,Public,Neutral,3.0,No,High School,Moderate,Male,63.0,36.0,12.0
23.0,86.0,Medium,High,Yes,8.0,91.0,Medium,Yes,2,Low,Medium,Public,Negative,1.0,No,College,Near,Female,71.0,23.0,23.0
15.0,73.0,Medium,High,No,5.0,61.0,Low,No,1,Low,High,Private,Positive,2.0,No,Postgraduate,Moderate,Male,63.0,30.0,0.0
